course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
49798,Bitcoin or How I Learned to Stop Worrying and Love Crypto,0,Free,65576,936,24,All Levels,0.56,8,20-04-2013,2013,4,Business Finance,0
48841,Accounting in 60 Minutes - A Brief Introduction,0,Free,56659,4397,16,Beginner Level,0.95,1.5,07-04-2013,2013,4,Business Finance,0
133536,Stock Market Investing for Beginners,0,Free,50855,2698,15,All Levels,0.91,1.5,25-12-2013,2013,12,Business Finance,0
151668,Introduction to Financial Modeling,0,Free,29167,1463,8,All Levels,0.18,1.5,27-05-2014,2014,5,Business Finance,0
648826,The Complete Financial Analyst Course 2017,195,Paid,24481,2347,174,All Levels,0.37,10,21-01-2016,2016,1,Business Finance,4773795
97338,Forex Basics,0,Free,22344,712,26,All Levels,0.89,3.5,16-10-2013,2013,10,Business Finance,0
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,195,Paid,22257,2697,138,Intermediate Level,0.13,7.5,25-11-2014,2014,11,Business Finance,4340115
301442,Black Algo Trading: Build Your Trading Robot,200,Paid,20195,1113,227,All Levels,0.21,16,27-10-2014,2014,10,Business Finance,4039000
189160,Financial Analysis: A Recipe for Success,0,Free,19614,635,14,All Levels,0.3,1.5,23-04-2014,2014,4,Business Finance,0
191854,Stock Market Foundations,0,Free,19339,794,9,All Levels,0.89,2,31-03-2014,2014,3,Business Finance,0
754028,Financial Accounting - A Brief Introduction,0,Free,17847,1440,17,Intermediate Level,0.34,1,24-02-2016,2016,2,Business Finance,0
265960,Fundamentals of Forex Trading,0,Free,17160,620,23,Beginner Level,0.69,1,29-08-2014,2014,8,Business Finance,0
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,Paid,16900,2476,52,Beginner Level,0.16,5.5,12-12-2014,2014,12,Business Finance,3295500
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,Paid,16385,273,45,Beginner Level,0.78,3,02-09-2014,2014,9,Business Finance,983100
401784,Options Trading Introduction: Day Trade Stock Options,95,Paid,12394,218,30,All Levels,0.25,2.5,20-02-2015,2015,2,Business Finance,1177430
189996,Introduction to Digital Payments,0,Free,12217,351,17,All Levels,0.41,1,29-04-2014,2014,4,Business Finance,0
302562,Introduction to Accounting: The Language of Business,20,Paid,11958,370,134,All Levels,0.81,11.5,02-10-2014,2014,10,Business Finance,239160
777444,Corporate Finance - A Brief Introduction,0,Free,11724,649,17,All Levels,0.81,1.5,04-03-2016,2016,3,Business Finance,0
116128,CPA 101: How To Master Affiliate Marketing In No Time,100,Paid,11517,92,21,All Levels,0.81,1.5,09-11-2013,2013,11,Business Finance,1151700
888716,"Introduction to Finance, Accounting, Modeling and Valuation",200,Paid,11441,1118,61,All Levels,0.81,4.5,28-06-2016,2016,6,Business Finance,2288200
774174,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,0,Free,10670,444,15,All Levels,0.81,1,03-03-2016,2016,3,Business Finance,0
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,95,Paid,10605,71,77,All Levels,0.81,3,24-10-2014,2014,10,Business Finance,1007475
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,Paid,10603,872,42,All Levels,0.81,5.5,12-10-2014,2014,10,Business Finance,2120600
205810,Beginners Binary Options Course,0,Free,10540,799,14,All Levels,0.81,1.5,27-04-2014,2014,4,Business Finance,0
109622,Finance - Ratios Analysis & Interpretations,30,Paid,10338,52,41,Beginner Level,0.81,2.5,23-10-2013,2013,10,Business Finance,310140
506568,Create A Business From Home Trading Stocks Today In 2017,75,Paid,10149,83,16,All Levels,0.81,2,26-05-2015,2015,5,Business Finance,761175
43319,Options Trading Basics (3-Course Bundle),180,Paid,10100,985,45,All Levels,0.81,11,25-02-2013,2013,2,Business Finance,1818000
640100,Accounting & Financial Statement Analysis: Complete Training,150,Paid,10042,594,43,Beginner Level,0.81,3,22-10-2015,2015,10,Business Finance,1506300
114518,Improve Your Financial Literacy,0,Free,9995,96,10,All Levels,0.81,2,10-02-2014,2014,2,Business Finance,0
706942,Forex Trading For Beginners,0,Free,9483,183,22,All Levels,0.81,2,14-01-2016,2016,1,Business Finance,0
165964,Stock Trading Ninja: Complete System For Trading Success,155,Paid,9445,497,38,Beginner Level,0.81,4.5,19-02-2014,2014,2,Business Finance,1463975
192870,Trading Penny Stocks: A Guide for All Levels In 2017,150,Paid,9221,138,25,All Levels,0.81,3,02-05-2014,2014,5,Business Finance,1383150
252396,How to Pick The Right Penny Stocks To Invest In 2017,150,Paid,9015,65,23,All Levels,0.81,2.5,01-07-2014,2014,7,Business Finance,1352250
418732,Hedge Fund Trading System,0,Free,8985,584,12,Expert Level,0.81,1,06-03-2015,2015,3,Business Finance,0
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,Paid,8797,449,80,All Levels,0.81,6.5,09-01-2015,2015,1,Business Finance,395865
965832,The Complete Investment Banking Course 2017,195,Paid,8575,809,110,Intermediate Level,0.81,5.5,10-10-2016,2016,10,Business Finance,1672125
358326,Dividend Investing: Build Your Portfolio for a Better Future,60,Paid,8314,83,47,Beginner Level,0.81,4,24-01-2015,2015,1,Business Finance,498840
614472,The Advanced Forex Course for Smart Traders,0,Free,8236,144,25,All Levels,0.81,5,09-10-2015,2015,10,Business Finance,0
985922,Excel Crash Course: Master Excel for Financial Analysis,105,Paid,8121,689,40,Beginner Level,0.29,3.5,18-10-2016,2016,10,Business Finance,852705
58977,Financial Statements Made Easy,95,Paid,8095,249,12,All Levels,0.18,0.583333333,09-06-2013,2013,6,Business Finance,769025
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,185,Paid,7941,713,40,Expert Level,0.22,6.5,11-08-2014,2014,8,Business Finance,1469085
434774,Options Trading Stocks: Proven Toolbox For Financial Success,195,Paid,7884,118,68,All Levels,0.18,10,19-05-2015,2015,5,Business Finance,1537380
256200,How To Start Trading Penny Stocks In 10 Easy Steps 2017,50,Paid,7750,58,15,Beginner Level,0.94,1.5,17-07-2014,2014,7,Business Finance,387500
596598,Basic Excel for Basic Bookkeeping and Accounting,95,Paid,7743,340,33,All Levels,0.07,1.5,10-09-2015,2015,9,Business Finance,735585
627540,Options Trading - How to Win with Weekly Options,115,Paid,7489,1190,25,Beginner Level,0.15,1,22-10-2015,2015,10,Business Finance,861235
1005312,【１日でマスター！】今日からはじめる資産形成,20,Paid,7183,819,14,All Levels,0.72,1,19-01-2017,2017,1,Business Finance,143660
233900,Get Started With Penny Stocks -Step by Step Guide to Trading,200,Paid,7159,61,18,All Levels,0.11,2,02-06-2014,2014,6,Business Finance,1431800
377370,Learn to Trade the Stock Market without Blowing Your Profits,60,Paid,6967,16,34,Beginner Level,0.48,1,02-05-2017,2017,5,Business Finance,418020
923616,Website Investing 101 - Buying & Selling Online Businesses,0,Free,6811,151,51,Intermediate Level,0.52,2,05-08-2016,2016,8,Business Finance,0
47504,Use Crowdfunding Effectively With Indiegogo and Kickstarter,0,Free,6533,32,9,All Levels,0.2,2,25-06-2013,2013,6,Business Finance,0
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,Paid,6451,237,28,All Levels,0.8,5,16-04-2014,2014,4,Business Finance,806375
