course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
348116,Photoshop In-Depth: Master all of Photoshop's Tools Easily,0,Free,53851,1779,45,All Levels,0.69,4.5,30-11-2014,2014,11,Graphic Design,0
17349,Figure Drawing From Life Using The Reilly Technique.,0,Free,47811,1041,22,Beginner Level,0.11,2.5,09-05-2012,2012,5,Graphic Design,0
399938,Professional Logo Design in Adobe Illustrator,0,Free,44044,1563,45,Beginner Level,0.89,7.5,22-01-2015,2015,1,Graphic Design,0
820194,Photoshop for Entrepreneurs - Design 11 Practical Projects,200,Paid,36288,737,63,All Levels,0.96,5,09-06-2016,2016,6,Graphic Design,7257600
249126,Logo Design Essentials,20,Paid,33205,481,12,Beginner Level,0.88,0.7,30-06-2014,2014,6,Graphic Design,664100
874012,The Ultimate Drawing Course - Beginner to Advanced,150,Paid,26742,2379,62,Beginner Level,0.24,11,23-01-2017,2017,1,Graphic Design,4011300
385462,Logo Designing for Your Business in an Hour,20,Paid,25277,311,16,Beginner Level,0.38,1,05-01-2015,2015,1,Graphic Design,505540
178044,How To Make Graphics For A Website,200,Paid,24857,35,11,All Levels,0.89,1.5,15-03-2014,2014,3,Graphic Design,4971400
22445,Learn to Design a Letterhead - A Beginners Course,0,Free,24687,423,13,All Levels,0.11,0.733333333,10-10-2012,2012,10,Graphic Design,0
660876,Graphic Design - An Overview of the Field,0,Free,23229,2215,12,All Levels,0.53,1,09-11-2015,2015,11,Graphic Design,0
897238,Canva Graphics Design for Entrepreneurs - Design 11 Projects,200,Paid,18303,202,54,All Levels,0.81,3.5,23-07-2016,2016,7,Graphic Design,3660600
62721,Anatomy for Figure Drawing: Mastering the Human Figure,95,Paid,15500,754,65,Beginner Level,0.41,68.5,16-10-2013,2013,10,Graphic Design,1472500
749542,Graphic Design Bootcamp,200,Paid,15276,1740,65,All Levels,0.65,8,13-05-2016,2016,5,Graphic Design,3055200
573064,Photoshop in Ease: Create World Amazing  Graphic Designs,20,Paid,14440,182,26,Beginner Level,0.2,3,13-08-2015,2015,8,Graphic Design,288800
1120554,Canva Graphics Design Essential Training For Everyone,200,Paid,12340,124,46,Beginner Level,0.88,2.5,07-03-2017,2017,3,Graphic Design,2468000
611370,"Quote Images for Pinterest, Facebook, & Instagram",0,Free,12103,576,18,All Levels,0.75,1,24-09-2015,2015,9,Graphic Design,0
47004,Photoshop Course: Design an eBook Cover in Photoshop,50,Paid,11893,69,40,All Levels,0.27,3,25-04-2013,2013,4,Graphic Design,594650
20461,How to Design a Logo - a Beginners Course,30,Paid,10875,650,41,All Levels,0.8,2.5,25-07-2012,2012,7,Graphic Design,326250
364986,Apple Watch Design,20,Paid,9847,24,35,All Levels,0.94,4,29-12-2014,2014,12,Graphic Design,196940
693812,Master App Icon Design for iPhone (IOS) & Android Devices,25,Paid,9464,329,43,All Levels,0.18,2,21-12-2015,2015,12,Graphic Design,236600
1145736,Create Professional Looking Infographics With No Experience,180,Paid,9367,104,21,All Levels,0.11,2,21-03-2017,2017,3,Graphic Design,1686060
28556,Discover How to Draw and paint Comics,65,Paid,8901,424,85,Beginner Level,0.61,62,21-11-2012,2012,11,Graphic Design,578565
627782,Learn Illustrator By Recreating Top 3 Logos - Beginner Guide,0,Free,8786,245,11,All Levels,0.88,1,04-10-2015,2015,10,Graphic Design,0
416548,Logo Design Masterclass: Learn Logo Design + Illustrator,200,Paid,8196,479,85,All Levels,0.48,6.5,18-08-2015,2015,8,Graphic Design,1639200
371074,Sketch 3 from A to Z: Become an App Designer,75,Paid,7282,1629,42,All Levels,0.32,3.5,03-01-2015,2015,1,Graphic Design,546150
520468,Canva : Graphic Design Theory Volume1,200,Paid,6975,122,29,All Levels,0.32,2.5,05-06-2015,2015,6,Graphic Design,1395000
1094930,DIY Design Professional Web Banners in Photoshop 4 Beginners,200,Paid,6944,30,24,All Levels,0.89,1,01-02-2017,2017,2,Graphic Design,1388800
396204,Graphic Design Masterclass: Learn Graphic Design in Projects,95,Paid,6858,382,41,All Levels,0.15,3.5,09-11-2015,2015,11,Graphic Design,651510
755680,Draw a realistic Fantail using pencil,0,Free,6754,109,20,All Levels,0.38,1,11-02-2016,2016,2,Graphic Design,0
371490,Graphic Design: Create Animated GIF Ad Banners in Photoshop,20,Paid,6612,44,20,All Levels,0.84,1,19-12-2014,2014,12,Graphic Design,132240
611804,Primeros Pasos con Photoshop CC,0,Free,6429,654,31,All Levels,0.71,2.5,23-09-2015,2015,9,Graphic Design,0
1228900,Learn Professional Book-Cover Designing Photoshop 4 Beginner,200,Paid,6428,21,54,All Levels,0.54,3,13-06-2017,2017,6,Graphic Design,1285600
590622,Logo Design - Guide to Logo Design in Photoshop,25,Paid,6215,86,17,All Levels,0.45,2,05-02-2016,2016,2,Graphic Design,155375
400130,The Business Graphic Design with Photoshop & Illustrator,200,Paid,6039,128,111,All Levels,0.34,17,25-02-2015,2015,2,Graphic Design,1207800
561188,Photoshop CC for Beginners - A Comprehensive Crash Course,200,Paid,6028,205,20,All Levels,0.88,2.5,29-07-2015,2015,7,Graphic Design,1205600
269082,Photoshop: Real World Hands-on Freelance Mastery,105,Paid,5950,25,29,All Levels,0.6,2.5,25-09-2014,2014,9,Graphic Design,624750
507726,Typography: Learn the Basics to Build a Solid Foundation,35,Paid,5850,19,34,All Levels,0.15,1,26-05-2015,2015,5,Graphic Design,204750
516394,Book Covers and Graphic Design with PowerPoint 2013/2016/365,195,Paid,5840,57,30,Intermediate Level,0.9,4,03-06-2015,2015,6,Graphic Design,1138800
1149656,Mastering advance Photoshop,20,Paid,5787,40,21,All Levels,0.89,2,27-04-2017,2017,4,Graphic Design,115740
337072,Bestseller! Learn Photoshop in 1 Hour (No Experience Needed),200,Paid,5471,72,39,All Levels,0.31,6.5,05-03-2015,2015,3,Graphic Design,1094200
1046722,Ultimate Photoshop Training: From Beginner to Pro,200,Paid,5326,447,150,All Levels,0.61,11.5,12-01-2017,2017,1,Graphic Design,1065200
839536,Start Making Comics with Manga Studio 5 / Clip Studio Paint,0,Free,5301,125,77,Intermediate Level,0.88,6.5,21-06-2016,2016,6,Graphic Design,0
874656,Create Stunning Infographics to Share your Ideas,0,Free,5175,470,7,All Levels,0.24,0.5,14-08-2016,2016,8,Graphic Design,0
600486,Teoria Basica del Arte. Como Pintar Ilustraciones Digitales,20,Paid,5104,437,26,All Levels,0.14,1,08-09-2015,2015,9,Graphic Design,102080
930416,How to design a business card on Photoshop (for beginners),0,Free,5086,197,12,All Levels,0.74,1,27-08-2016,2016,8,Graphic Design,0
133968,Web Elements Design With Photoshop,45,Paid,5072,38,44,Beginner Level,0.96,5,21-10-2014,2014,10,Graphic Design,228240
895394,How To Build Your Own Web Banner Design Business,20,Paid,5000,7,21,Beginner Level,0.96,1,05-07-2016,2016,7,Graphic Design,100000
520766,Canva : Graphic Design Theory Volume2,200,Paid,4961,38,29,Intermediate Level,0.96,2,20-06-2015,2015,6,Graphic Design,992200
482924,Mastering Retouching and Restoration (15 projects Included),100,Paid,4927,15,22,Intermediate Level,0.96,2.5,26-04-2015,2015,4,Graphic Design,492700
1132572,How to Design an Awesome Letterhead in Adobe Illustrator,0,Free,4776,115,18,All Levels,0.96,0.566666667,03-03-2017,2017,3,Graphic Design,0
449788,Graphic Design: Beginner's Graphic Design Guide to Photoshop,25,Paid,4550,74,15,All Levels,0.96,1,20-05-2015,2015,5,Graphic Design,113750
563708,Bestseller!! Learn Illustrator CC in 1 Hour,200,Paid,4449,100,9,Beginner Level,0.96,1.5,28-07-2015,2015,7,Graphic Design,889800
367460,Complete Digital Painting Training with Corel Painter,30,Paid,4353,23,57,Beginner Level,0.96,3.5,09-02-2015,2015,2,Graphic Design,130590
595876,Logo Design in Adobe Illustrator - for Beginners & Beyond,200,Paid,4297,337,110,Beginner Level,0.96,7.5,01-10-2015,2015,10,Graphic Design,859400
787340,Most Wanted Flat Design Techniques #1: Desert Island,0,Free,4294,143,15,All Levels,0.96,1,17-03-2016,2016,3,Graphic Design,0
317278,Typographic Logos: Typography and Lettering for Logo Design,25,Paid,4235,427,20,Beginner Level,0.96,1.5,16-10-2014,2014,10,Graphic Design,105875
475214,Text based Logo Design for Business Using Adobe Photoshop,20,Paid,4208,25,19,All Levels,0.96,1,03-08-2015,2015,8,Graphic Design,84160
62497,How to Draw Cute Cartoon Characters,55,Paid,4080,522,26,Beginner Level,0.96,2,01-10-2013,2013,10,Graphic Design,224400
77532,Graphic Design for Entrepreneurs...Who Can't Draw,20,Paid,3903,51,13,Expert Level,0.96,1.5,17-08-2013,2013,8,Graphic Design,78060
525446,Draw a Kitten,0,Free,3812,68,11,All Levels,0.96,1.5,12-06-2015,2015,6,Graphic Design,0
1062048,Mastering Photoshop CC 2017 - The Art of Design & Technology,20,Paid,3721,95,46,All Levels,0.96,6.5,04-02-2017,2017,2,Graphic Design,74420
278948,Become a Professional Graphic Designer,35,Paid,3618,345,207,Beginner Level,0.96,20.5,13-08-2014,2014,8,Graphic Design,126630
737642,How To Design A Fortune 500 Logo in Illustrator,195,Paid,3599,43,72,All Levels,0.96,5,24-01-2016,2016,1,Graphic Design,701805
117004,How to Draw Pinups and Sexy Women,75,Paid,3525,109,33,Intermediate Level,0.96,20,19-11-2013,2013,11,Graphic Design,264375
1156778,How to stylize your photos in Photoshop with color overlays,0,Free,3512,58,17,All Levels,0.96,1.5,30-03-2017,2017,3,Graphic Design,0
