course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
19421,Free Beginner Electric Guitar Lessons,0,Free,101154,1042,95,All Levels,0.88,4.5,15-06-2012,2012,6,Musical Instruments,0
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,200,Paid,75499,7676,362,Beginner Level,0.96,30,07-08-2014,2014,8,Musical Instruments,15099800
41884,Getting Started with Playing Guitar,0,Free,47652,1141,26,All Levels,0.68,4,29-05-2013,2013,5,Musical Instruments,0
42271,Complete Guitar System - Beginner to Advanced,145,Paid,32935,2713,310,All Levels,0.65,34,29-05-2013,2013,5,Musical Instruments,4775575
26956,Learn Guitar in 21 Days,20,Paid,26504,192,82,All Levels,0.41,2.5,21-10-2012,2012,10,Musical Instruments,530080
456284,The Professional Guitar Masterclass,200,Paid,21701,1340,136,All Levels,0.3,9.5,28-04-2015,2015,4,Musical Instruments,4340200
583752,Introduction to Piano - By PGN Piano!,0,Free,14922,772,8,All Levels,0.3,0.666666667,16-08-2015,2015,8,Musical Instruments,0
59922,Best Beginner Guitar Lessons by Sam Lyons,20,Paid,14560,20,32,All Levels,0.3,2,16-06-2013,2013,6,Musical Instruments,291200
198690,Acoustic Guitar Basics,0,Free,14495,224,21,Beginner Level,0.47,2,07-08-2014,2014,8,Musical Instruments,0
484670,Guitar Super System Level 1,50,Paid,10869,2257,104,Intermediate Level,0.94,5,29-04-2015,2015,4,Musical Instruments,543450
953152,The Complete Piano & Music Theory Beginners Course,50,Paid,10435,665,23,Expert Level,0.12,1.5,15-09-2016,2016,9,Musical Instruments,521750
1191750,"Jazz Guitar Tips, Tricks and Licks",0,Free,9351,331,21,Intermediate Level,0.18,2,01-05-2017,2017,5,Musical Instruments,0
645202,The Total Beginner's Guitar Course,0,Free,9193,357,17,Intermediate Level,0.18,1.5,24-03-2016,2016,3,Musical Instruments,0
200598,"LEARN HARMONICA, amaze your friends and have fun - it's easy",200,Paid,8857,718,131,Beginner Level,0.43,15.5,27-04-2014,2014,4,Musical Instruments,1771400
101496,How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,0,Free,8240,31,6,All Levels,0.52,1.5,23-11-2013,2013,11,Musical Instruments,0
99324,Acoustic Blues Guitar Lessons,0,Free,8217,109,10,Beginner Level,0.3,1,30-09-2013,2013,9,Musical Instruments,0
1132342,Ultimate Beginner Guitar Masterclass,200,Paid,8113,79,124,All Levels,0.18,11.5,15-05-2017,2017,5,Musical Instruments,1622600
194692,Quicklessons Piano Course - Learn to Play Piano by Ear!,200,Paid,7178,260,144,Intermediate Level,0.15,8.5,12-04-2014,2014,4,Musical Instruments,1435600
76524,A new approach to piano and playing songs for beginners,50,Paid,7140,72,26,All Levels,0.18,1.5,11-08-2013,2013,8,Musical Instruments,357000
409818,Get started playing blues harmonica,0,Free,6853,398,23,Intermediate Level,0.99,0.616666667,30-03-2015,2015,3,Musical Instruments,0
517148,Acoustic Fingerstyle Guitar Course: Beginner to Advanced,200,Paid,6565,55,56,All Levels,0.11,4,04-08-2015,2015,8,Musical Instruments,1313000
824044,PI-101 Top 10 Classical Piano Pieces for Beginners,0,Free,6292,183,38,Beginner Level,0.96,1,30-05-2016,2016,5,Musical Instruments,0
1052180,"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",100,Paid,6271,68,75,All Levels,0.14,5,27-06-2013,2013,6,Musical Instruments,627100
65033,Virtual Piano Lessons - A New Way To Learn Piano,50,Paid,5830,29,12,Beginner Level,0.14,1,21-07-2013,2013,7,Musical Instruments,291500
315576,Guitar Crash Course (No Experience Necessary),0,Free,5769,78,29,Intermediate Level,0.14,1,22-01-2015,2015,1,Musical Instruments,0
364716,"Beginner Violin 101: Care, Maintenance, and the Right Gear",0,Free,5543,107,29,Beginner Level,0.14,4,03-03-2015,2015,3,Musical Instruments,0
967380,How to play Piano - Go from a Beginner/Intermediate to a Pro,200,Paid,5316,159,291,All Levels,0.14,31,16-10-2016,2016,10,Musical Instruments,1063200
1032864,Learn to Read & Write Music to play Piano & more instruments,115,Paid,5292,38,85,Beginner Level,0.14,10.5,27-12-2016,2016,12,Musical Instruments,608580
555340,Play Piano in 30 Days! - Start Playing NOW!,0,Free,5188,410,58,All Levels,0.14,3,26-07-2015,2015,7,Musical Instruments,0
574974,The Complete Piano Course - Master The Piano,95,Paid,4982,276,240,All Levels,0.14,23,20-08-2015,2015,8,Musical Instruments,473290
1105794,Piano Music Theory (Back To Basics) by JFilt,0,Free,4967,308,12,Beginner Level,0.14,0.5,13-02-2017,2017,2,Musical Instruments,0
1229488,Learn to play your favorite guitar songs by ear,50,Paid,4733,11,15,Beginner Level,0.14,1.5,27-05-2017,2017,5,Musical Instruments,236650
566678,Learn 4 Chords and Play Thousands of Songs!,20,Paid,4560,177,22,All Levels,0.14,1.5,17-08-2015,2015,8,Musical Instruments,91200
501412,Play Piano by Ear Today! SuperCourse,60,Paid,4557,21,77,All Levels,0.14,5.5,05-01-2016,2016,1,Musical Instruments,273420
696630,"7 Ways A Beginner Guitarist Can Sound Better, Instantly!",0,Free,4529,193,7,All Levels,0.14,0.6,21-12-2015,2015,12,Musical Instruments,0
286070,5 lecciones que todo guitarrista debe tomar,0,Free,4452,263,14,All Levels,0.14,1,23-08-2014,2014,8,Musical Instruments,0
681692,Guitar Super System Level 2,50,Paid,4192,128,34,All Levels,0.14,1.5,30-11-2015,2015,11,Musical Instruments,209600
206088,Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,200,Paid,4133,173,224,All Levels,0.14,28.5,19-05-2014,2014,5,Musical Instruments,826600
687248,3 step formula for playing guitar by ear,25,Paid,3937,54,20,Beginner Level,0.14,1.5,03-12-2015,2015,12,Musical Instruments,98425
955914,A beginner`s guide to fingerpicking and strumming guitar',0,Free,3481,29,20,All Levels,0.14,2,13-09-2016,2016,9,Musical Instruments,0
658276,Piano for Singer/Songwriters | Write Songs and Perform Live!,100,Paid,3371,175,42,Beginner Level,0.14,3,12-11-2015,2015,11,Musical Instruments,337100
762374,Guitar Lessons - String Bending And Vibrato Essentials,0,Free,3325,28,5,All Levels,0.14,1,15-02-2016,2016,2,Musical Instruments,0
648506,Blues Guitar Fundamentals,50,Paid,3312,107,21,Beginner Level,0.14,1.5,27-06-2016,2016,6,Musical Instruments,165600
666322,Learn to Play Piano From a Concert Pianist - For Beginners,200,Paid,3206,18,17,Intermediate Level,0.11,1,22-11-2015,2015,11,Musical Instruments,641200
