course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
41295,Learn HTML5 Programming From Scratch,0,Free,268923,8629,45,Beginner Level,0.82,10.5,14-02-2013,2013,2,Web Development,0
59014,Coding for Entrepreneurs Basic,0,Free,161029,279,27,Expert Level,0.69,3.5,09-06-2013,2013,6,Web Development,0
625204,The Web Developer Bootcamp,200,Paid,121584,27445,342,Beginner Level,0.89,43,02-11-2015,2015,11,Web Development,24316800
173548,Build Your First Website in 1 Week with HTML5 and CSS3,0,Free,120291,5924,30,All Levels,0.78,3,08-04-2014,2014,4,Web Development,0
764164,The Complete Web Developer Course 2.0,200,Paid,114512,22412,304,Beginner Level,0.55,30.5,08-03-2016,2016,3,Web Development,22902400
473160,Web Design for Web Developers: Build Beautiful Websites!,0,Free,98867,6512,20,All Levels,0.82,3,13-04-2015,2015,4,Web Development,0
94430,Learn Javascript & JQuery From Scratch,30,Paid,84897,2685,10,All Levels,0.79,2,10-10-2013,2013,10,Web Development,2546910
130064,Practical PHP: Master the Basics and Code Dynamic Websites,0,Free,83737,4598,45,Intermediate Level,0.85,6.5,19-07-2014,2014,7,Web Development,0
364426,JavaScript: Understanding the Weird Parts,175,Paid,79612,16976,85,All Levels,0.69,11.5,12-03-2015,2015,3,Web Development,13932100
756150,Angular 4 (formerly Angular 2) - The Complete Guide,190,Paid,73783,19649,329,Beginner Level,0.9,22,11-02-2016,2016,2,Web Development,14018770
21386,Beginner Photoshop to HTML5 and CSS3,0,Free,73110,1716,22,All Levels,0.94,2,27-07-2012,2012,7,Web Development,0
65330,Web Development By Doing: HTML / CSS From Scratch,0,Free,72932,2575,21,All Levels,0.39,1,25-09-2013,2013,9,Web Development,0
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,0,Free,70773,5660,50,All Levels,0.57,6,19-03-2015,2015,3,Web Development,0
11174,Become a Web Developer from Scratch,120,Paid,69186,2408,197,All Levels,0.61,27.5,19-11-2011,2011,11,Web Development,8302320
314462,Quickstart AngularJS,0,Free,64128,4047,17,Beginner Level,0.96,1.5,22-11-2014,2014,11,Web Development,0
128946,Learn Responsive Web Development from Scratch,0,Free,59639,2692,24,All Levels,0.55,4.5,09-12-2013,2013,12,Web Development,0
289230,Learn and Understand AngularJS,175,Paid,59361,11580,55,Beginner Level,0.87,7,24-09-2014,2014,9,Web Development,10388175
461160,Learn and Understand NodeJS,195,Paid,58208,11123,98,Beginner Level,0.73,13,31-08-2015,2015,8,Web Development,11350560
556248,The Complete HTML & CSS Course - From Novice To Professional,195,Paid,57422,874,84,All Levels,0.82,7.5,27-07-2015,2015,7,Web Development,11197290
580466,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,195,Paid,55332,1225,144,Intermediate Level,0.28,20,22-09-2015,2015,9,Web Development,10789740
80940,Build Websites from Scratch with HTML & CSS,145,Paid,51257,1955,77,All Levels,0.76,8,25-09-2013,2013,9,Web Development,7432265
705264,Modern React with Redux,180,Paid,50815,15117,150,All Levels,0.62,26.5,28-12-2015,2015,12,Web Development,9146700
94432,Learn PHP Fundamentals From Scratch,0,Free,48650,1236,9,All Levels,0,2,16-10-2013,2013,10,Web Development,0
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,50,Paid,47886,285,125,All Levels,0.41,12.5,18-06-2012,2012,6,Web Development,2394300
707962,Javascript Essentials,0,Free,47062,5590,41,All Levels,0.18,8.5,20-01-2016,2016,1,Web Development,0
437398,Build Responsive Real World Websites with HTML5 and CSS3,195,Paid,43977,7106,77,All Levels,0.34,12,24-03-2015,2015,3,Web Development,8575515
28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,Paid,43285,525,24,Beginner Level,0.31,4,03-01-2013,2013,1,Web Development,3246375
708578,Bootstrap 4 Quick Start: Code Modern Responsive Websites,0,Free,41478,2104,13,All Levels,0.52,3,30-12-2015,2015,12,Web Development,0
719002,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,150,Paid,40070,8341,194,All Levels,0.74,9.5,03-03-2016,2016,3,Web Development,6010500
674608,The Complete Web Developer Masterclass: Beginner To Advanced,195,Paid,37141,1813,316,Beginner Level,0.07,51,18-05-2016,2016,5,Web Development,7242495
772618,Learn Object Oriented PHP By Building a Complete Website,0,Free,36322,2618,32,All Levels,0.68,4.5,01-03-2016,2016,3,Web Development,0
16646,Web Programming with Python,50,Paid,35267,217,53,Beginner Level,0.78,4,25-04-2012,2012,4,Web Development,1763350
446134,Ultimate Web Designer & Developer Course: Build 23 Projects!,200,Paid,33788,4434,246,Beginner Level,0.31,32.5,20-08-2015,2015,8,Web Development,6757600
519442,The Complete Ruby on Rails Developer Course,195,Paid,33677,3809,283,All Levels,0.77,31.5,23-10-2015,2015,10,Web Development,6567015
949282,Learn Angular 2 from Beginner to Advanced,195,Paid,32696,526,67,Beginner Level,0.7,10,07-10-2016,2016,10,Web Development,6375720
294794,Create An HTML5 Video Player From Scratch,0,Free,32260,1005,12,All Levels,0.94,1.5,05-09-2014,2014,9,Web Development,0
695656,The Complete JavaScript Course For Web Development Beginners,195,Paid,31499,450,46,Beginner Level,0.76,4,29-12-2015,2015,12,Web Development,6142305
19332,The Original Complete Web Developer Course.,20,Paid,31070,742,195,Beginner Level,0.07,18,28-10-2012,2012,10,Web Development,621400
511934,AngularJS For Beginners,0,Free,30531,1948,53,All Levels,0.78,3,30-06-2015,2015,6,Web Development,0
267560,Learn E-Commerce Website in PHP & MySQL From Scratch!,0,Free,29990,1342,87,Beginner Level,0.95,17.5,10-08-2014,2014,8,Web Development,0
